"id","titulo","descricao","videoURL"
"25","SAÚDE BUCAL: CRIANÇAS RECEBEM NOÇÕES DE HIGIENE BUCAL","Crianças da pré-escola estão sendo assistidas pelo Programa de Saúde Bucal do governo de Fronteira. A ação objetiva, prevenir e assegurar qualidade de vida para crianças da rede municipal de ensino. 

Prefeitura Municipal de Fronteira
Governando com Responsabilidade
Administração: 2021/2024","https://www.youtube.com/watch?v=s7DYGPxECWw"
"27","MAIS INVESTIMENTOS: PREFEITO ANUNCIA REFORMA DA ESF DO JD. ÂNGELO PASSUELO","Com um olhar que vislumbra cada vez mais o bem estar de sua população, o prefeito - Sérgio Cóxa, adquiriu mais duas ambulâncias para o município. Os veículos, modelo Fiat, além de um designer moderno, é extremamente confortável. Esse é um governo que pensa no conforto de sua saúde.

Prefeitura Municipal de Fronteira
Governando com Responsabilidade
Administração: 2021/2024","https://www.youtube.com/watch?v=eYFFL7Vllp0"
"28","MAIS INVESTIMENTOS: PREFEITO ANUNCIA REFORMA DA ESF DO JD. ÂNGELO PASSUELO","O prefeito - Sérgio Cóxa após visita à ESF do Jd. Ângelo Passuelo, anunciou esta semana, a reforma e melhorias da estrutura que ele construiu em governos anteriores. O investimento visa, além da preservação do patrimônio, executar readequações na unidade. 

Prefeitura Municipal de Fronteira
Governando com Responsabilidade
Administração: 2021/2024","https://www.youtube.com/watch?v=iUIk3zi1OmY"
"29","GERAÇÃO DE EMPREGOS: PREFEITO ANUNCIA NOVOS INVESTIMENTOS","GERAÇÃO DE EMPREGOS: PREFEITO ANUNCIA NOVOS INVESTIMENTOS
Nesta segunda-feira, 27 de março, o prefeito – Sérgio Cóxa, num momento histórico para o município, teve uma agenda bem positiva com empresários de São José do Rio Preto (SP) e de José Bonifácio (SP). Está confirmada a instalação de mais três empresas na cidade, que juntas deverão gerar renda e cerca de 200 empregos. Durante os encontros, a","https://www.youtube.com/watch?v=vOQSNsBm0dc"
"30","PREFEITO VAI A BRASÍLIA E DIEGO ANDRADE ANUNCIA MAIS R$ 1 MILHÃO PARA SAÚDE DE F","O trabalho não para! O prefeito - Sérgio Cóxa e o secretário de Administração - Daniel Fonseca foram ao Distrito Federal para resolver junto a diretoria da ANTT, a implantação de UM acesso exclusivo para levar água tratada para - ArcelorMittal que está em fase adiantada de instalação no município, e reivindicou o retorno de transporte viário (viação de ônibus) para Frutal e São José do Rio Preto. ","https://www.youtube.com/watch?v=6k3ts1wVxtQ"
"31","VEREADORES E VICE-PREFEITO REFORÇAM AÇÕES EM BRASÍLIA E FRONTEIRA SERÁ CONTEMPLA","Com o objetivo de ampliar e reforçar os investimentos na saúde de Fronteira, o vice-prefeito – Leandro Pineis e os vereadores – Dunga (PSD)e Serginho(MDB) estiveram esta semana em Brasília e através da deputada federal – Greyce Elias (Avante), conseguiram mais R$ 500 mil de emenda parlamentar do senador – Carlos Viana (Avante). O recurso será destinado para continuidade do Programa de Cirurgias e ","https://www.youtube.com/watch?v=4i0Gux4Z0Vg"
"32","PALESTRA COM A EMPRESÁRIA CÍNTIA FLORA LOTA PLENÁRIO DA CÂMARA ","O encontro promovido pela Secretaria de Desenvolvimento Econômico de Fronteira e SEBRAE, realizado na quarta-feira passada, 29 de março, protagonizou a era da mulher empreendedora e de atitude. 
Além de secretários do governo, participaram do evento que trouxe a palestrante e empresária - Cíntia Flora, os vereadores - Moisés Sivirino e Angelita Marques. A primeira dama e Secretária de Assistência ","https://www.youtube.com/watch?v=nVKIcoFo5fg"
"33","GOVERNO DE FRONTEIRA NÃO PARA: OBRAS EM ANDAMENTO SOMAM MAIS DE R$ 2 MILHÕES EM ","Além dos investimentos na Saúde, Educação, entre outros setores, só em obras de pavimentação asfáltica, em andamento, a previsão de gastos do atual governo de Fronteira, é de R$ 1,7 milhão. Desse valor, o deputado estadual – Dr. Arnaldo Silva (Arnaldinho) viabilizou junto ao SEINFRA R$ 300 mil e a prefeitura entrou com contra partida de R$ 163 mil. O restante, que totaliza R$1,3 milhão é de financ","https://www.youtube.com/watch?v=Hrir1JBZWSo"
"34","GERAÇÃO DE EMPREGO","✍️ O trabalho continua! O prefeito - Sérgio Cóxa acompanhado dos secretários - Daniel Fonseca (Administração) e Divalci Rodrigues (Desenvolvimento Econômico), foi a Belo Horizonte,  buscar mais recursos e fomentar o crescimento econômico do município com geração de empregos e renda.
E o resultado desse trabalho incansável, aliada a soma de uma gestão eficiente e planejada, que conta com apoio de p","https://www.youtube.com/watch?v=Dju0ouV1ZSs"
"35","SAUDE É UMA QUESTÃO DE SENSIBILIDADE","Outro passo muito importante na Saúde de Fronteira. O prefeito - Sérgio Cóxa, que desde o início do seu mandato, vem realizando ações que transformaram a Saúde de seu município em referência em todo Triângulo Mineiro, trouxe para o município exame de próstata. Esse diagnóstico que custa mais de R$ 1,5 mil para realizá-lo em unidades particulares, agora, é feito em nossa UMS. 
#saudehumanizada
#mai","https://www.youtube.com/watch?v=yU2yIcsCyiA"
