"id","idNoticia","capa","nomeImg","remoto"
"1","475","1","ok_(323).jpg","0"
"2","481","1","testeimg_(419).png","0"
"3","609","1","whatsapp-image-2023-03-16-at-091659.jpeg","0"
"4","615","1","brinde-trabalhdores.jpg","0"
"5","615","1","3442493926058167915988864515609875506799259n.jpg","0"
"6","615","1","aca.jpg","0"
"7","615","1","subir.jpg","0"
"8","615","1","aajjaj.jpg","0"
"9","615","1","aaaaaaaaaaaaa.jpg","0"
"10","615","1","maio.jpg","0"
"11","615","1","subir-2.jpg","0"
"12","615","1","3442493926058167915988864515609875506799259n_(983).jpg","0"
"13","616","1","3-influenza.jpg","0"
"14","616","1","nois-de-novo.jpg","0"
"15","616","1","influenzawswsw.jpg","0"
"16","617","1","acamados-6.jpg","0"
"17","617","1","acamado-4.jpg","0"
"18","617","1","acamados-3.jpg","0"
"19","617","1","acamados.jpg","0"
"20","618","1","dentista.jpg","0"
"21","618","1","dentosta-2.jpg","0"
"22","620","1","maio-amarelo.jpg","0"
"23","620","1","escola.jpg","0"
"24","620","1","maio-amarelo-2.jpg","0"
"25","620","1","postar.jpg","0"
"26","620","1","maioeeeee.jpg","0"
"27","620","1","maio-amarelo-5.jpg","0"
"28","621","1","3485767932613025930741439013788850602044999n.jpg","0"
"29","621","1","3484721682652199960344755658382318527029280n.jpg","0"
"30","622","1","sobe.jpg","0"
"31","622","1","5_(977).jpg","0"
"32","622","1","icem.jpg","0"
"33","622","1","edfefef_(156).jpg","0"
"34","622","1","351511275821071858944551518119234814454790n.jpg","0"
"35","622","1","jairo.jpg","0"
"36","622","1","7_(66).jpg","0"
"37","622","1","6_(882).jpg","0"
"38","622","1","povo.jpg","0"
"39","623","1","3525113605724429617378474637525441684466179n.jpg","0"
"40","623","1","3525189785724429484045154160148927688489958n.jpg","0"
"41","623","1","3523751545724430017378431212030228709611141n.jpg","0"
"42","624","1","vai.jpg","0"
"43","624","1","3525173765724887183999382633924339551518345n.jpg","0"
"44","624","1","3523774355724887617332674886443290147574277n.jpg","0"
"45","624","1","icemtime.jpg","0"
"46","624","1","capitao.jpg","0"
"47","624","1","torcida-w.jpg","0"
"48","624","1","capitao_(639).jpg","0"
"49","624","1","torcida.jpg","0"
"50","624","1","futebol.jpg","0"
"51","624","1","vai_(996).jpg","0"
"52","624","1","3490964035724888083999298500868361441153161n.jpg","0"
"53","629","1","3551623715793026410518792284075629549102405n.jpg","0"
"54","629","1","3556353605793025877185512379291180389932332n.jpg","0"
"55","629","1","3558699985793027510518685293586521751884304n.jpg","0"
