"id","nome","data","descricao","local","idCategoriaEvento","ativo","dataFim","nomeImg","created_at","updated_at","remoto"
"1","ARRAIÁ DO BERNARDÃO ","1/7/2023 19:00:00","Muita pipoca, canjica, achocolatado, bolos e quentão.","Praça da Vitória ",,"1","1/7/2023 23:00:00","3525158825771330646021707485630220365512460n-1-1.jpg","27/6/2023 16:38:46","27/6/2023 16:44:12","0"
"2","Seminário de Jiu-Jitsu ","30/7/2023 00:00:00","Seminário de Jiu-Jitsu ","CREF",,"1","31/7/2023 00:00:00","3629723015969532159534884456050305677528483n.jpg","25/7/2023 10:14:30","25/7/2023 10:14:30","0"
